Full Evaluation Report

--- Bin: 0 (No Fire) fire pixels (202 samples) ---
sample_0345.npy: GT=6, AUPRC=0.7479
sample_1344.npy: GT=7, AUPRC=0.7470
sample_0346.npy: GT=10, AUPRC=0.7460
sample_1673.npy: GT=15, AUPRC=0.7458
sample_1597.npy: GT=7, AUPRC=0.7453
sample_1519.npy: GT=5, AUPRC=0.7442
sample_0355.npy: GT=14, AUPRC=0.7424
sample_0476.npy: GT=14, AUPRC=0.7424
sample_0993.npy: GT=8, AUPRC=0.7406
sample_1026.npy: GT=9, AUPRC=0.7402
sample_1076.npy: GT=9, AUPRC=0.7383
sample_1112.npy: GT=17, AUPRC=0.7347
sample_1274.npy: GT=10, AUPRC=0.7346
sample_1008.npy: GT=9, AUPRC=0.7344
sample_0279.npy: GT=5, AUPRC=0.7333
sample_0449.npy: GT=16, AUPRC=0.7326
sample_0769.npy: GT=22, AUPRC=0.7326
sample_1123.npy: GT=40, AUPRC=0.7317
sample_1259.npy: GT=12, AUPRC=0.7309
sample_0763.npy: GT=8, AUPRC=0.7296
sample_0509.npy: GT=9, AUPRC=0.7295
sample_0909.npy: GT=10, AUPRC=0.7295
sample_0859.npy: GT=5, AUPRC=0.7269
sample_1552.npy: GT=29, AUPRC=0.7258
sample_0123.npy: GT=4, AUPRC=0.7250
sample_0676.npy: GT=34, AUPRC=0.7246
sample_0765.npy: GT=29, AUPRC=0.7239
sample_1208.npy: GT=3, AUPRC=0.7222
sample_0621.npy: GT=13, AUPRC=0.7212
sample_1467.npy: GT=7, AUPRC=0.7210
sample_0108.npy: GT=21, AUPRC=0.7208
sample_0542.npy: GT=7, AUPRC=0.7196
sample_0882.npy: GT=8, AUPRC=0.7180
sample_1633.npy: GT=29, AUPRC=0.7172
sample_1314.npy: GT=5, AUPRC=0.7167
sample_0994.npy: GT=10, AUPRC=0.7166
sample_0767.npy: GT=5, AUPRC=0.7158
sample_0929.npy: GT=10, AUPRC=0.7155
sample_0705.npy: GT=6, AUPRC=0.7133
sample_0655.npy: GT=4, AUPRC=0.7125
sample_1551.npy: GT=6, AUPRC=0.7119
sample_0456.npy: GT=5, AUPRC=0.7112
sample_0976.npy: GT=8, AUPRC=0.7110
sample_0050.npy: GT=27, AUPRC=0.7094
sample_0734.npy: GT=20, AUPRC=0.7081
sample_0713.npy: GT=9, AUPRC=0.7066
sample_0069.npy: GT=12, AUPRC=0.7065
sample_0244.npy: GT=12, AUPRC=0.7058
sample_1470.npy: GT=8, AUPRC=0.7058
sample_0842.npy: GT=5, AUPRC=0.7057
sample_0328.npy: GT=6, AUPRC=0.7056
sample_1027.npy: GT=45, AUPRC=0.7052
sample_0888.npy: GT=17, AUPRC=0.7052
sample_1509.npy: GT=31, AUPRC=0.7045
sample_0438.npy: GT=6, AUPRC=0.7040
sample_1636.npy: GT=19, AUPRC=0.7039
sample_1223.npy: GT=47, AUPRC=0.7030
sample_1390.npy: GT=13, AUPRC=0.7012
sample_0884.npy: GT=26, AUPRC=0.7007
sample_0659.npy: GT=34, AUPRC=0.7001
sample_0053.npy: GT=3, AUPRC=0.7000
sample_0097.npy: GT=3, AUPRC=0.7000
sample_0314.npy: GT=3, AUPRC=0.7000
sample_0452.npy: GT=6, AUPRC=0.6988
sample_0389.npy: GT=3, AUPRC=0.6984
sample_1195.npy: GT=3, AUPRC=0.6984
sample_0338.npy: GT=24, AUPRC=0.6954
sample_0460.npy: GT=24, AUPRC=0.6954
sample_0110.npy: GT=28, AUPRC=0.6932
sample_1004.npy: GT=25, AUPRC=0.6931
sample_1432.npy: GT=36, AUPRC=0.6924
sample_0649.npy: GT=10, AUPRC=0.6923
sample_0387.npy: GT=4, AUPRC=0.6917
sample_0921.npy: GT=4, AUPRC=0.6917
sample_0632.npy: GT=18, AUPRC=0.6915
sample_0122.npy: GT=49, AUPRC=0.6903
sample_1619.npy: GT=18, AUPRC=0.6903
sample_1011.npy: GT=6, AUPRC=0.6889
sample_1369.npy: GT=13, AUPRC=0.6880
sample_1242.npy: GT=11, AUPRC=0.6875
sample_1177.npy: GT=42, AUPRC=0.6873
sample_0045.npy: GT=9, AUPRC=0.6869
sample_1198.npy: GT=7, AUPRC=0.6859
sample_1080.npy: GT=20, AUPRC=0.6856
sample_0241.npy: GT=7, AUPRC=0.6850
sample_0479.npy: GT=12, AUPRC=0.6843
sample_0306.npy: GT=6, AUPRC=0.6841
sample_0981.npy: GT=49, AUPRC=0.6814
sample_0196.npy: GT=3, AUPRC=0.6806
sample_0665.npy: GT=11, AUPRC=0.6802
sample_0574.npy: GT=37, AUPRC=0.6789
sample_1372.npy: GT=5, AUPRC=0.6766
sample_0912.npy: GT=16, AUPRC=0.6747
sample_0278.npy: GT=5, AUPRC=0.6746
sample_0733.npy: GT=22, AUPRC=0.6742
sample_0952.npy: GT=6, AUPRC=0.6732
sample_1546.npy: GT=19, AUPRC=0.6710
sample_1334.npy: GT=33, AUPRC=0.6704
sample_1342.npy: GT=7, AUPRC=0.6703
sample_1158.npy: GT=6, AUPRC=0.6695
sample_0541.npy: GT=16, AUPRC=0.6676
sample_0637.npy: GT=3, AUPRC=0.6669
sample_0411.npy: GT=3, AUPRC=0.6667
sample_1507.npy: GT=2, AUPRC=0.6667
sample_1068.npy: GT=9, AUPRC=0.6639
sample_0099.npy: GT=24, AUPRC=0.6633
sample_1521.npy: GT=7, AUPRC=0.6628
sample_0539.npy: GT=9, AUPRC=0.6620
sample_0572.npy: GT=8, AUPRC=0.6619
sample_0843.npy: GT=6, AUPRC=0.6615
sample_1163.npy: GT=42, AUPRC=0.6585
sample_0764.npy: GT=12, AUPRC=0.6581
sample_0566.npy: GT=20, AUPRC=0.6575
sample_1635.npy: GT=29, AUPRC=0.6561
sample_0403.npy: GT=12, AUPRC=0.6556
sample_0660.npy: GT=3, AUPRC=0.6556
sample_0517.npy: GT=48, AUPRC=0.6553
sample_0684.npy: GT=25, AUPRC=0.6552
sample_1446.npy: GT=4, AUPRC=0.6528
sample_0379.npy: GT=23, AUPRC=0.6525
sample_1319.npy: GT=22, AUPRC=0.6519
sample_0964.npy: GT=13, AUPRC=0.6511
sample_1350.npy: GT=13, AUPRC=0.6508
sample_0986.npy: GT=25, AUPRC=0.6496
sample_0977.npy: GT=16, AUPRC=0.6495
sample_0833.npy: GT=9, AUPRC=0.6493
sample_0748.npy: GT=7, AUPRC=0.6489
sample_1071.npy: GT=5, AUPRC=0.6488
sample_0690.npy: GT=28, AUPRC=0.6488
